"","SCC","Data.Category","Short.Name","EI.Sector","Option.Group"
"110","10200304","Point","Ext Comb /Industrial /Lignite /Traveling Grate (Overfeed) Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"111","10200306","Point","Ext Comb /Industrial /Lignite /Spreader Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"112","10200307","Point","Ext Comb /Industrial /Lignite /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"113","10200401","Point","Ext Comb /Industrial /Residual Oil /Grade 6 Oil","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"114","10200402","Point","Ext Comb /Industrial /Residual Oil /10-100 Million Btu/hr **","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"115","10200403","Point","Ext Comb /Industrial /Residual Oil /< 10 Million Btu/hr **","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"116","10200404","Point","Ext Comb /Industrial /Residual Oil /Grade 5 Oil","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"117","10200405","Point","Ext Comb /Industrial /Residual Oil /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"118","10200501","Point","Ext Comb /Industrial /Distillate Oil /Grades 1 and 2 Oil","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"119","10200502","Point","Ext Comb /Industrial /Distillate Oil /10-100 Million Btu/hr **","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"120","10200503","Point","Ext Comb /Industrial /Distillate Oil /< 10 Million Btu/hr **","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"121","10200504","Point","Ext Comb /Industrial /Distillate Oil /Grade 4 Oil","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"122","10200505","Point","Ext Comb /Industrial /Distillate Oil /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Oil",""
"123","10200601","Point","Ext Comb /Industrial /Natural Gas /> 100 Million Btu/hr","Fuel Comb - Industrial Boilers, ICEs - Natural Gas",""
"124","10200602","Point","Ext Comb /Industrial /Natural Gas /10-100 Million Btu/hr","Fuel Comb - Industrial Boilers, ICEs - Natural Gas",""
"125","10200603","Point","Ext Comb /Industrial /Natural Gas /< 10 Million Btu/hr","Fuel Comb - Industrial Boilers, ICEs - Natural Gas",""
"126","10200604","Point","Ext Comb /Industrial /Natural Gas /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Natural Gas",""
"127","10200701","Point","Ext Comb /Industrial /Process Gas /Petroleum Refinery Gas","Fuel Comb - Industrial Boilers, ICEs - Other",""
"128","10200704","Point","Ext Comb /Industrial /Process Gas /Blast Furnace Gas","Fuel Comb - Industrial Boilers, ICEs - Other",""
"129","10200707","Point","Ext Comb /Industrial /Process Gas /Coke Oven Gas","Fuel Comb - Industrial Boilers, ICEs - Other",""
"130","10200710","Point","Ext Comb /Industrial /Process Gas /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Other",""
"131","10200711","Point","Ext Comb /Industrial /Process Gas /Landfill Gas","Fuel Comb - Industrial Boilers, ICEs - Other",""
"132","10200799","Point","Ext Comb /Industrial /Process Gas /Other: Specify in Comments","Fuel Comb - Industrial Boilers, ICEs - Other",""
"133","10200802","Point","Ext Comb /Industrial /Petroleum Coke /All Boiler Sizes","Fuel Comb - Industrial Boilers, ICEs - Other",""
"134","10200804","Point","Ext Comb /Industrial /Petroleum Coke /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Other",""
"135","10200901","Point","Ext Comb /Industrial /Bark-fired Boiler","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"136","10200902","Point","Ext Comb /Industrial /Wood/Bark-fired Boiler","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"137","10200903","Point","Ext Comb /Industrial /Wood-fired Boiler - Wet Wood (:=20% moisture)","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"138","10200904","Point","Ext Comb /Industrial /Bark-fired Boiler (< 50,000 Lb Steam) **","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"139","10200905","Point","Ext Comb /Industrial /Wood/Bark-fired Boiler (< 50,000 Lb Steam) **","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"140","10200906","Point","Ext Comb /Industrial /Wood-fired Boiler (< 50,000 Lb Steam) **","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"141","10200907","Point","Ext Comb /Industrial /Wood/Bark Waste /Wood Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"142","10200908","Point","Ext Comb /Industrial /Wood-fired Boiler - Dry Wood (<20% moisture)","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"143","10200910","Point","Ext Comb /Industrial /Wood/Bark Waste /Fuel cell/Dutch oven boilers **","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"144","10200911","Point","Ext Comb /Industrial /Wood/Bark Waste /Stoker boilers **","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"145","10200912","Point","Ext Comb /Industrial /Wood/Bark Waste /Fluidized bed combustion boiler","Fuel Comb - Industrial Boilers, ICEs - Biomass",""
"146","10201001","Point","Ext Comb /Industrial /LPG /Butane","Fuel Comb - Industrial Boilers, ICEs - Other",""
"147","10201002","Point","Ext Comb /Industrial /LPG /Propane","Fuel Comb - Industrial Boilers, ICEs - Other",""
"148","10201003","Point","Ext Comb /Industrial /LPG /Butane/Propane Mixture: Specify Percent Butane in Comments","Fuel Comb - Industrial Boilers, ICEs - Other",""
"149","10201101","Point","Ext Comb /Industrial /Bagasse /All Boiler Sizes","Fuel Comb - Industrial Boilers, ICEs - Other",""
"150","10201201","Point","Ext Comb /Industrial /Solid Waste /Specify Waste Material in Comments","Fuel Comb - Industrial Boilers, ICEs - Other",""
"151","10201202","Point","Ext Comb /Industrial /Solid Waste /Refuse Derived Fuel","Fuel Comb - Industrial Boilers, ICEs - Other",""
